Name rus, Name eng,DOB,Gender,Description,Tag
Румянцева Елена Алексеевна,Rumyantseva Elena Alekseevna,,female,Judge of the Moscow City Court. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Руппель Александр Александрович,Ruppel Alexander Alexandrovich,13.09.1979,male,"Deputy Governor of Krasnodar Krai. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Русанов Андрей Анатольевич,Rusanov Andrey Anatolievich,,male,Member of the Electoral Commission of the Novosibirsk Oblast with a casting vote. Prevented the admission of an opposition party to the elections in the interests of illegally retaining the power of the ruling regime of Vladimir Putin,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Русанов Игорь Валерьевич,Rusanov Igor Valerievich,23.05.1905,male,Deputy Chairman of the Management Board of JSC Gazprombank,Top Management of State Owned Companies
Русанов Юрий Сергеевич,Rusanov Yury Sergeevich,04.01.1968,male,Head of the Investigation Directorate of the Investigative Committee of the Russian Federation for the Zabaykalsky Krai. Head of the federal state body responsible for criminal prosecution (on the territory under its jurisdiction) of citizens of the Russian Federation who oppose the Russian invasion of Ukraine and the current political regime in the Russia.,"Key ‘siloviki’ (security forces) figure
Investigative Committee of Russia "
Русанова Татьяна Александровна,Rusanova Tatyana Alexandrovna,,female,"Acting Deputy Head of the Tomsk Transport Police, whose officers did not initiate a criminal case into the attempt on the life of Alexei Navalny","Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Рущак Владимир Михайлович,Ruschak Vladimir Mikhailovich,02.09.1971,Male,Minister of Industry and Trade of the self-proclaimed Donetsk People's Republic. Assisted Russian aggression against Ukraine and the occupation of part of Ukrainian territory.,"War Arrangers
Military staff and accomplices of Russian occupation"
Русецкая Маргарита Николаевна,Rusetskaya Margarita Nikolayevna,02.12.1972,female,Rector of the Pushkin State Institute of Russian Language. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
Русских Алексей Юрьевич,Russkikh Aleksey Yuryevich ,17.07.1968,male,"Governor of Ulyanovsk Oblast. Manages a regional state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Region Heads
Governors"
Русских Ирина Анатольевна,Russkikh Irina Anatolevna,-,Female,"Director, STATE TELEVISION AND RADIO BROADCASTING COMPANY ""VYATKA"". Involved in Russian propaganda of the war against Ukraine.",Chief editors and management of regional TV channels
Руссу Николай Александрович,Russu Nikolai Aleksandrovich,16.12.1955,male,"Member of the Legislative Assembly of the Tyumen Oblast from the United Russia party, general director of the construction company Mostostroy-11, which is controlled by the Rotenbergs",Regional investigations subjects
Руткаускас Виталий Иосифович,Rutkauskas Vitalii Iosifovich,23.05.1978,male,"Municipal deputy of the city of Gvardeysk (Kaliningrad Oblast), director of the municipal waste processing company, organizer of the ""garbage scam""",Regional investigations subjects
Рузанов Роман Игоревич,Ruzanov Roman Igorevich,,male,"Senior detective of the Directorate ""K"" of the FSB of Russia, major. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia","Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Рябченко Александр Николаевич,Ryabchenko Alexander Nikolaevich,19.01.1987,male,"First Deputy Head of Administration of Lipetsk Oblast. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Рябинин Александр Павлович,Ryabinin Alexander Pavlovich,,male,"Investigator for especially important cases of the investigative unit of the investigative department at the Internal Affairs Directorate for the Yaroslavl region. Involved in the ""Magnitsky case""","Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Рябишин Виктор Владимирович,Ryabishin Viktor Vladimirovich,28.10.1952,male,"Deputy Governor of Vologda Oblast . Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Рябков Сергей Алексеевич,Ryabkov Sergey Alekseevich,08.07.1960,Male,"Deputy Minister of Foreign Affairs of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Рябов Николай Александрович,Ryabov Nikolai Alexandrovich,17.07.1968,male,Prosecutor of the Khabarovsk Krai. Head of the federal state body that provides legal protection for the Russian political regime and refused to protect the rule of law in the context of the invasion of Russian troops in Ukraine.,"Key ‘siloviki’ (security forces) figure 
Prosecutor’s Office"
Рябов С. В.,Ryabov S.V.,,male,Senior Investigator of the Khamovniki Interdistrict Investigation Department of the Investigation Department for the Central Administrative District of the Main Investigative Directorate of the Investigative Committee of the Russian Federation for Moscow. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Рябцев Александр Александрович,Ryabtsev Alexander Alexandrovich,15.08.1984,male,"Member of the Central Executive Committee of the United Russia party. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.""","“United Russia” party Functionaries 
Federal and regional party leaders"
